P2400,KIBOJE  CENTRE,
P2401,KIDOTI  CENTRE,
P2402,KINYASINI  CENTRE,
P2403,LANGONI  CENTRE,
P2405,MTOPEPO  CENTRE,
P2406,PALE  CENTRE,
P2407,POTOA  CENTRE,
P2409,REGEZAMWENDO  CENTRE,
P2410,UKONGORONI  CENTRE,
P2412,FURAHA  CENTRE,
P2413,KINOWE  CENTRE,
P2414,MIZINGANI  CENTRE,
P2416,MWAMBE  CENTRE,
P2418,SHENGEJUU  CENTRE,
P2420,ZIWANI PEMBA  CENTRE,
P2425,SUN RISE  CENTRE,
P2429,FUJONI  CENTRE,
P2433,GANAKO  CENTRE,
P2450,ITISO  CENTRE,
P2454,SPLENDID SECRETARIAL COLLEGE CENTRE,
P2493,MWATISI  CENTRE,
P2500,CHUO CHA UFUNDI - VETA CENTRE,
P2505,RWEPAS  CENTRE,
P2510,ISTIQAMA  CENTRE,
P2511,MADISI  CENTRE,
P2514,CHUO CHA MAENDELEO YA WANANCHI SAME,
P2515,FPCT TUMAINI  CENTRE,
P2517,ALFA  CENTRE,
P2524,MURUSAGAMBA  CENTER,
P2527,GOODWILL  CENTRE,
P2532,ADAM  CENTRE,
P2533,SAMBU  CENTRE,
P2537,ILALA  CENTRE,
P2538,MWANANCHI  CENTRE,
P2539,PAROKIA SONGEA T.E.W.W. CENTRE,
P2540,ITEBWA  CENTRE,
P2550,MLONDWE  CENTRE,
P2617,KISESA  CENTRE,
P2647,DENIS  CENTRE,
P2648,GUNDA  CENTRE,
P2649,O.S.P RUHUJI  CENTRE,
P2652,KOM   CENTRE,
P2655,MARANATHA  CENTRE,
